date,open,close,high,low,volume,change,pct_change
2016-01-04,3725.8600,3469.0700,3726.2400,3468.9500,115370674,,
2016-01-05,3382.1800,3478.7800,3518.2200,3377.2800,162116984,9.7100,0.0028
2016-01-06,3482.4100,3539.8100,3543.7400,3468.4700,145966144,61.0300,0.0175
2016-01-07,3481.1500,3294.3800,3481.1500,3284.7400,44102641,-245.4300,-0.0693
2016-01-08,3371.8700,3361.5600,3418.8500,3237.9300,185959451,67.1800,0.0204
2016-01-11,3303.1200,3192.4500,3342.4800,3192.4500,174638387,-169.1100,-0.0503
2016-01-12,3214.8200,3215.7100,3242.2500,3174.5500,128225796,23.2600,0.0073
2016-01-13,3240.4800,3155.8800,3257.3000,3155.8800,120666494,-59.8300,-0.0186
2016-01-14,3076.6400,3221.5700,3226.6600,3072.0400,134537671,65.6900,0.0208
2016-01-15,3200.8900,3118.7300,3216.8000,3101.0500,124601779,-102.8400,-0.0319
2016-01-18,3068.2300,3130.7300,3165.6200,3066.7300,101128386,12.0000,0.0038
2016-01-19,3132.7000,3223.1200,3227.9100,3119.2200,127653893,92.3900,0.0295
2016-01-20,3204.2200,3174.3800,3225.9500,3154.4300,130650504,-48.7400,-0.0151
2016-01-21,3136.3800,3081.3500,3202.5400,3081.3500,111189733,-93.0300,-0.0293
2016-01-22,3114.9000,3113.4600,3132.1700,3053.9600,89951087,32.1100,0.0104
2016-01-25,3129.0300,3128.8900,3149.3300,3105.1000,81540061,15.4300,0.0050
2016-01-26,3099.6000,2940.5100,3106.5300,2934.6500,126933921,-188.3800,-0.0602
2016-01-27,2953.1800,2930.3500,2963.5400,2839.2900,132229366,-10.1600,-0.0035
2016-01-28,2909.3300,2853.7600,2941.8900,2841.8400,99222756,-76.5900,-0.0261
2016-01-29,2855.6000,2946.0900,2965.3100,2854.3700,113304259,92.3300,0.0324
2016-02-01,2939.0400,2901.0500,2944.5200,2869.5600,86795342,-45.0400,-0.0153
2016-02-02,2901.5300,2961.3300,2972.4300,2901.5100,88601963,60.2800,0.0208
2016-02-03,2931.2900,2948.6400,2954.7100,2909.9000,77389000,-12.6900,-0.0043
2016-02-04,2960.3300,2984.7600,2999.2100,2960.2100,91779724,36.1200,0.0122
2016-02-05,2982.0600,2963.7900,2988.3600,2962.8500,76850808,-20.9700,-0.0070
2016-02-15,2888.4300,2946.7100,2961.4900,2886.0200,72919434,-17.0800,-0.0058
2016-02-16,2962.1900,3037.0400,3042.0900,2962.1900,112579643,90.3300,0.0307
2016-02-17,3034.0900,3063.3200,3065.7800,3027.0500,128291607,26.2800,0.0087
2016-02-18,3079.5300,3053.7000,3093.5100,3049.8400,124401464,-9.6200,-0.0031
